Sheet Name,First Last Name,Title/Role,Date,URI,Death Date
Ludlow;Edmund,Edmund Ludlow,,1660,https://kg.virtualtreasury.ie/person/Ludlow_Edmund_c17/v12d6sy,
Rawdon;George,George Rawdon,,1660,https://kg.virtualtreasury.ie/person/Rawdon_George_c17/v1q6xg7,
Nugent;Thomas,Thomas Nugent,,1625,https://kg.virtualtreasury.ie/person/Nugent_Thomas_c18/v17k7fc,
Roche;Maurice;Viscount Fermoy,Maurice Roche,Viscount Fermoy,1641,https://kg.virtualtreasury.ie/person/Roche_Maurice_c17/v1m3sm5,
Boyle;Richard;earl of Cork,Richard Boyle,earl of Cork,1660,https://kg.virtualtreasury.ie/person/Boyle_Richard_c17/v15s7bb,
Browne;John,John Browne,,1660,https://kg.virtualtreasury.ie/person/Browne_John_c18/v14ftc9,
Dillon;Wentworth;earl of Roscommon,Wentworth Dillon,earl of Roscommon,1660,https://kg.virtualtreasury.ie/person/Dillon_Wentworth_c17/v1q6jn5,
Hamilton;George,George Hamilton,,1660,https://kg.virtualtreasury.ie/person/Hamilton_George_c17/v1tj3s9,
Butler;James;marquis of Ormond,James Butler,marquis of Ormond,1660,https://kg.virtualtreasury.ie/person/Butler_James_c17/v1h5y5r,
Brodrick;Allen,Allen Brodrick,,1660,https://kg.virtualtreasury.ie/person/Brodrick_Alan_c17/v16zd9q,
Monck;George;duke of Albemarle,George Monck,duke of Albemarle,1660,https://kg.virtualtreasury.ie/person/Monck_George_c17/v189dhj,
Clothworthy;John,John Clotworthy,,1660,https://kg.virtualtreasury.ie/person/Clotworthy_John_c17/v1kn88z,
Bramhall;John;bishop of Derry,John Bramhall,bishop of Derry,1660,https://kg.virtualtreasury.ie/person/Bramhall_John_c17/v1j9ws2,
Fortescue;Faithful,Faithful Fortescue,,1660,https://kg.virtualtreasury.ie/person/Fortescue_Faithful_c17/v1g97ms,
Power;Richard,Richard Power,,1660,https://kg.virtualtreasury.ie/person/Power_Richard_c17/v1tkr98,
Cusack;George,George Cusack,,1660,https://kg.virtualtreasury.ie/person/Cusack_George_c17/v1g7gh1,
Leslie;John;bishop of Raphoe,John Leslie,bishop of Raphoe,1660,https://kg.virtualtreasury.ie/person/Leslie_John_c17/v1zc11r,
Davies;John,John Davies,,1660,https://kg.virtualtreasury.ie/person/Davis_John_c17/v19qgv4,
Tichborne;Henry,Henry Tichborne,,1660,https://kg.virtualtreasury.ie/person/Tichbourne_Henry_c17/v13w2cj,
Conway;Edward;Viscount Conway and Killultagh,Edward Conway,Viscount Conway and Killultagh,1660,https://kg.virtualtreasury.ie/person/Conway_Edward_c17/v1cg59v,
Bysse;John,John Bysse,,1660,https://kg.virtualtreasury.ie/person/Bysse_John_c17/v12rrf3,
