person_uri,name,gender,era,floruit_lower,floruit_upper,wikidata,dib,birth_places,death_places
https://kg.virtualtreasury.ie/person/Brodrick_Alan_c17/v16zd9q,Allen Brodrick,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1623-07-28,1680-11-25,http://www.wikidata.org/entity/Q4731552,https://www.dib.ie/biography/Brodrick-Sir-Alan-Allen-a9186,,
https://kg.virtualtreasury.ie/person/Jones_Arthur_c17/v1q2gw9,Abraham Jones,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1610-01-01,1670-01-07,,https://www.dib.ie/biography/Jones-Arthur-a4337-A,,
https://kg.virtualtreasury.ie/person/Capel_Arthur_c17/v1qc4v7,William Capell,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1631-01-01,1683-07-13,http://www.wikidata.org/entity/Q2714210,https://www.dib.ie/biography/Capel-Arthur-a1454,,"England, London"
https://kg.virtualtreasury.ie/person/Chichester_Arthur_c17/v1m3hw8,Art Chichester,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1606-06-16,1675-03-18,http://www.wikidata.org/entity/Q4798251,https://www.dib.ie/biography/Chichester-Arthur-a1643,,"Belfast, Northern Ireland"
https://kg.virtualtreasury.ie/person/Forbes_Arthur_c17/v1bz4w4,William Holgate,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1623-01-01,1696-12-31,,https://www.dib.ie/biography/Forbes-Sir-Arthur-a3320,"Ireland, Longford","Ireland, Longford"
https://kg.virtualtreasury.ie/person/Forbes_Arthur_c17/v1bz4w4,Abraham Holgate,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1623-01-01,1696-12-31,,https://www.dib.ie/biography/Forbes-Sir-Arthur-a3320,"Ireland, Longford","Ireland, Longford"
https://kg.virtualtreasury.ie/person/Jones_Arthur_c17/v1q2gw9,Art Jones,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1610-01-01,1670-01-07,,https://www.dib.ie/biography/Jones-Arthur-a4337-A,,
https://kg.virtualtreasury.ie/person/Fitton_Alexander_c17/v1t63tz,Alexander Phitton,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1635-01-01,1699-11-09,http://www.wikidata.org/entity/Q4718857,https://www.dib.ie/biography/Fitton-Sir-Alexander-a3114,,France
https://kg.virtualtreasury.ie/person/Capel_Arthur_c17/v1qc4v7,Art Capell,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1631-01-01,1683-07-13,http://www.wikidata.org/entity/Q2714210,https://www.dib.ie/biography/Capel-Arthur-a1454,,"England, London"
https://kg.virtualtreasury.ie/person/Chichester_Arthur_c17/v1m3hw8,William Chichester,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1606-06-16,1675-03-18,http://www.wikidata.org/entity/Q4798251,https://www.dib.ie/biography/Chichester-Arthur-a1643,,"Belfast, Northern Ireland"
https://kg.virtualtreasury.ie/person/Dopping_Anthony_c17/v152tzc,Niall Dopping,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1643-03-26,1697-04-25,http://www.wikidata.org/entity/Q4772410,https://www.dib.ie/biography/Dopping-Anthony-a2714,,
https://kg.virtualtreasury.ie/person/Capel_Arthur_c17/v1qc4v7,Abraham Capell,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1631-01-01,1683-07-13,http://www.wikidata.org/entity/Q2714210,https://www.dib.ie/biography/Capel-Arthur-a1454,,"England, London"
https://kg.virtualtreasury.ie/person/Annesley_Arthur_c17/v15gm6c,Art Annesley,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1614-07-10,1686-04-06,http://www.wikidata.org/entity/Q708421,https://www.dib.ie/biography/Annesley-Arthur-a0176,"Dublin, Ireland","England, London"
https://kg.virtualtreasury.ie/person/Annesley_Arthur_c17/v15gm6c,Abraham Annesley,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1614-07-10,1686-04-06,http://www.wikidata.org/entity/Q708421,https://www.dib.ie/biography/Annesley-Arthur-a0176,"Dublin, Ireland","England, London"
https://kg.virtualtreasury.ie/person/Chichester_Arthur_c17/v1m3hw8,Abraham Chichester,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1606-06-16,1675-03-18,http://www.wikidata.org/entity/Q4798251,https://www.dib.ie/biography/Chichester-Arthur-a1643,,"Belfast, Northern Ireland"
https://kg.virtualtreasury.ie/person/MacDonnell_Alexander_c17/v1gfm14,Alexander MacDonnell,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1615-01-01,1699-06-30,http://www.wikidata.org/entity/Q4719470,https://www.dib.ie/biography/MacDonnell-Alexander-a5176,,Wales
https://kg.virtualtreasury.ie/person/Annesley_Arthur_c17/v15gm6c,William Annesley,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1614-07-10,1686-04-06,http://www.wikidata.org/entity/Q708421,https://www.dib.ie/biography/Annesley-Arthur-a0176,"Dublin, Ireland","England, London"
https://kg.virtualtreasury.ie/person/Forbes_Arthur_c17/v1bz4w4,Art Holgate,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1623-01-01,1696-12-31,,https://www.dib.ie/biography/Forbes-Sir-Arthur-a3320,"Ireland, Longford","Ireland, Longford"
https://kg.virtualtreasury.ie/person/Murray_Adam_c18/v1df3h4,Adam Murray,https://www.w3id.org/virtual-treasury/ontology#Male,https://www.w3id.org/virtual-treasury/vocabulary#Early-Modern-1500-1749,1630-01-01,1706-02-28,http://www.wikidata.org/entity/Q18546091,https://www.dib.ie/biography/Murray-Adam-a6108,,
